lane	origin	lines	path
L1	class4-tail	123	apps/rn/src/store/payoffCelebration.ts
L1	class4-tail	241	apps/rn/src/store/payoffCelebration.test.ts
L1	class5	67	apps/rn/src/store/logPaymentCopy.ts
L1	class5	88	apps/rn/src/store/paywallLead.ts
L1	class5	93	apps/rn/src/store/journeySelectors.ts
L1	class5	128	apps/rn/src/store/journeySelectors.test.ts
L1	class5	155	apps/rn/src/store/balanceSelectors.ts
L1	class5	158	apps/rn/src/store/expenseReserveSelectors.ts
L1	class5	196	apps/rn/src/store/affordability.test.ts
L1	class5	222	apps/rn/src/store/expenseReserve.test.ts
L1	class5	241	apps/rn/src/store/requiredPlanTrust.test.ts
L1	class5	259	apps/rn/src/components/plan/dataRepairsCopy.test.ts
L1	class5	277	apps/rn/src/store/selectors.ts
L1	class5	317	apps/rn/src/components/plan/dataRepairsCopy.ts
L1	class5	470	packages/core/guardian/buildGuardianBrief.ts
L1	class5	668	apps/rn/src/store/trustSelectors.ts
L1	class5	965	apps/rn/src/store/guardianSelectors.ts
L1	class5	1042	apps/rn/src/store/trustSelectors.test.ts
L2	class5	18	apps/rn/src/liveActivity/liveActivityBridge.ts
L2	class5	20	apps/rn/src/liveActivity/liveActivityBridge.types.ts
L2	class5	33	apps/rn/src/appIntents/drainPendingActions.ts
L2	class5	48	apps/rn/targets/widget/PaydayLandedIntent.swift
L2	class5	53	apps/rn/modules/live-activity/ios/PaydayLandedIntent.swift
L2	class5	53	apps/rn/src/store/appliedIntents.ts
L2	class5	61	apps/rn/src/liveActivity/liveActivityBridge.native.ts
L2	class5	68	apps/rn/.maestro/03-row-context-menu.yaml
L2	class5	84	apps/rn/src/components/more/LiveActivityQA.tsx
L2	class5	96	apps/rn/src/appIntents/pendingActions.ts
L2	class5	110	apps/rn/src/appIntents/siriClaims.test.ts
L2	class5	110	apps/rn/targets/widget/PaydayLiveActivity.swift
L2	class5	121	apps/rn/modules/live-activity/ios/LiveActivityModule.swift
L2	class5	122	apps/rn/src/liveActivity/liveActivitySync.ts
L2	class5	153	apps/rn/src/liveActivity/paydayActivityContent.ts
L2	class5	170	apps/rn/plugins/app-intents-swift/SiriQueryIntents.swift
L2	class5	170	apps/rn/src/liveActivity/paydayActivityContent.test.ts
L2	class5	229	apps/rn/src/liveActivity/liveActivitySync.test.ts
L2	class5	263	apps/rn/.maestro/08-coach-marks.yaml
L2	class5	298	apps/rn/src/widget/snapshot.ts
L2	class5	321	apps/rn/src/appIntents/pendingActions.test.ts
L2	class5	407	apps/rn/src/widget/widgetSync.test.ts
L2	class5	538	apps/rn/src/data/models.ts
L2	class5	1136	apps/rn/src/store/store.ts
L3	class5	81	apps/rn/tests/e2e/windfall.spec.ts
L3	class5	113	apps/rn/tests/e2e/affordability.spec.ts
L3	class5	115	apps/rn/tests/e2e/goal-row-saved.spec.ts
L3	class5	119	apps/rn/src/app/cushion-forecast.tsx
L3	class5	121	apps/rn/tests/e2e/bnpl.spec.ts
L3	class5	128	apps/rn/tests/e2e/hero-date-fit.spec.ts
L3	class5	154	apps/rn/tests/e2e/saveforit-pace.spec.ts
L3	class5	184	apps/rn/src/components/plan/WindfallSheet.tsx
L3	class5	184	apps/rn/tests/e2e/cushion-forecast.spec.ts
L3	class5	200	apps/rn/src/components/plan/SaveForItSheet.tsx
L3	class5	269	apps/rn/src/components/plan/CashRunwayChart.tsx
L3	class5	276	apps/rn/tests/e2e/celebration.spec.ts
L3	class5	308	apps/rn/tests/e2e/progress-hero-journey.spec.ts
L3	class5	322	apps/rn/src/components/plan/PlanHero.tsx
L3	class5	330	apps/rn/src/components/plan/AffordabilityCard.tsx
L3	class5	449	apps/rn/src/app/paywall.tsx
L3	class5	496	apps/rn/src/app/(tabs)/progress.tsx
L3	class5	564	apps/rn/tests/e2e/trust-claims.spec.ts
L3	class5	747	apps/rn/src/components/plan/PaydayGuardianCard.tsx
L3	class5	808	apps/rn/tests/e2e/data-recovery.spec.ts
L3	class5	1136	apps/rn/src/app/(tabs)/index.tsx
L3	class5	1483	apps/rn/src/app/(tabs)/money.tsx
L4	class5	170	scripts/check-cap-literals.ts
L4	class5	248	scripts/run-gates.ts
L4	class5	384	apps/rn/src/testing/runAppTests.ts
L4	class5	775	scripts/check-trust-claims.ts
L4	class5	914	scripts/test-gate-plants.ts
L4	class5	947	scripts/check-finding-guards.ts
L4	class5	2771	scripts/surface-coverage.s1.json
L4	class5+class4-tail	4760	scripts/finding-guards.json
